SymptomText,Label
kidney disease,Nephrologist
kidney failure,Nephrologist
dialysis,Nephrologist
high creatinine,Nephrologist
protein in urine,Nephrologist
blood in urine,Urologist
lupus symptoms,Rheumatologist
rheumatoid arthritis,Rheumatologist
fibromyalgia,Rheumatologist
chronic pain,Pain Management Specialist
neuropathy,Neurologist
diabetic neuropathy,Endocrinologist
peripheral neuropathy,Neurologist
sciatica pain,Neurologist
chronic fatigue syndrome,General Physician
autoimmune disease,Rheumatologist
multiple sclerosis,Neurologist
parkinson's disease,Neurologist
alzheimer's disease,Neurologist
dementia,Neurologist
stroke symptoms,Neurologist
mini stroke,Neurologist
tia symptoms,Neurologist
brain fog,Neurologist
cognitive decline,Neurologist
adhd symptoms,Psychiatrist
bipolar disorder,Psychiatrist
schizophrenia,Psychiatrist
ocd symptoms,Psychiatrist
ptsd symptoms,Psychiatrist
eating disorder,Psychiatrist
substance abuse,Psychiatrist
alcohol addiction,Psychiatrist
drug addiction,Psychiatrist
withdrawal symptoms,Psychiatrist
panic disorder,Psychiatrist
social anxiety,Psychiatrist
phobias,Psychiatrist
suicide thoughts,Psychiatrist
self harm,Psychiatrist
domestic violence,Psychiatrist
trauma symptoms,Psychiatrist
grief counseling,Psychiatrist
marriage counseling,Psychiatrist
family therapy,Psychiatrist
child behavior problems,Pediatrician
developmental delays,Pediatrician
autism symptoms,Pediatrician
learning disabilities,Pediatrician
speech delay,Speech Therapist
hearing problems,Otolaryngologist
vision problems in children,Ophthalmologist
lazy eye,Ophthalmologist
crossed eyes,Ophthalmologist
color blindness,Ophthalmologist
night blindness,Ophthalmologist
cataracts,Ophthalmologist
glaucoma,Ophthalmologist
macular degeneration,Ophthalmologist
diabetic retinopathy,Ophthalmologist
eye floaters,Ophthalmologist
eye flashes,Ophthalmologist
eye twitching,Ophthalmologist
stye,Ophthalmologist
pink eye,Ophthalmologist
dry eye syndrome,Ophthalmologist
eye allergies,Allergist
contact lens problems,Ophthalmologist
pregnancy symptoms,Gynecologist
morning sickness,Gynecologist
pregnancy complications,Gynecologist
miscarriage,Gynecologist
infertility,Reproductive Endocrinologist
fertility problems,Reproductive Endocrinologist
pcos symptoms,Gynecologist
endometriosis,Gynecologist
ovarian cysts,Gynecologist
fibroids,Gynecologist
cervical cancer screening,Gynecologist
pap smear abnormal,Gynecologist
std symptoms,General Physician
hiv symptoms,Infectious Disease Specialist
herpes symptoms,General Physician
syphilis symptoms,General Physician
gonorrhea symptoms,Urologist
chlamydia symptoms,Urologist
hpv symptoms,Gynecologist
genital warts,Dermatologist
cold sores,General Physician
canker sores,General Physician
oral thrush,General Physician
fungal nail infection,Dermatologist
ringworm,Dermatologist
impetigo,Dermatologist
cellulitis,General Physician
abscess,General Surgeon
boils,General Physician
cysts,General Surgeon
lipoma,General Surgeon
warts,Dermatologist
moles,Dermatologist
birthmarks,Dermatologist
age spots,Dermatologist
wrinkles,Dermatologist
sun damage,Dermatologist
stretch marks,Dermatologist
scars,Dermatologist
burn treatment,General Physician
wound healing,General Physician
cuts and scrapes,General Physician
bee sting,General Physician
spider bite,General Physician
snake bite,Emergency Medicine
poisoning,Emergency Medicine
overdose,Emergency Medicine
heart attack symptoms,Cardiologist
stroke symptoms,Neurologist
anaphylaxis,Allergist
severe allergic reaction,Emergency Medicine
broken bones,Orthopedist
head injury,Neurologist
concussion,Neurologist
whiplash,Orthopedist
sports injury,Sports Medicine
exercise injury,Sports Medicine
dehydration,General Physician
heat exhaustion,General Physician
heat stroke,Emergency Medicine
hypothermia,Emergency Medicine
frostbite,Emergency Medicine
altitude sickness,General Physician
jet lag,General Physician
travel medicine,General Physician
vaccination,General Physician
physical exam,General Physician
blood test results,General Physician
cholesterol high,Cardiologist
diabetes screening,Endocrinologist
cancer screening,Oncologist
colonoscopy,Gastroenterologist
mammogram,Gynecologist
bone density test,Endocrinologist
eye exam,Ophthalmologist
hearing test,Otolaryngologist
dental checkup,Dentist
skin cancer screening,Dermatologist
